method,task,learner,dpc,k,num_synthetic_examples,metric,score,score_std,accuracy_mean,accuracy_std,f1_mean,f1_std,macro_f1_mean,macro_f1_std,n_dataset,seed,selection_time_sec,eval_time_sec,elapsed_sec_mean,runs,source_path
random,ag_news,albert-base-v2,1,4,4,accuracy,0.5296491228070176,,0.5296491228070176,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
random,ag_news,albert-base-v2,5,20,20,accuracy,0.629561403508772,,0.629561403508772,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
random,ag_news,albert-base-v2,10,40,40,accuracy,0.7557456140350877,,0.7557456140350877,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
random,ag_news,albert-base-v2,20,80,80,accuracy,0.7818421052631579,,0.7818421052631579,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
random,ag_news,albert-base-v2,50,200,200,accuracy,0.8343859649122808,,0.8343859649122808,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
random,ag_news,albert-base-v2,100,400,400,accuracy,0.8625877192982457,,0.8625877192982457,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
random,ag_news,albert-base-v2,500,2000,2000,accuracy,0.8937280701754386,,0.8937280701754386,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
random,ag_news,albert-base-v2,1000,4000,4000,accuracy,0.902017543859649,,0.902017543859649,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
random,ag_news,bert-base-uncased,1,4,4,accuracy,0.6773245614035087,,0.6773245614035087,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
random,ag_news,bert-base-uncased,5,20,20,accuracy,0.6919298245614035,,0.6919298245614035,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
random,ag_news,bert-base-uncased,10,40,40,accuracy,0.792280701754386,,0.792280701754386,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
random,ag_news,bert-base-uncased,20,80,80,accuracy,0.7990789473684211,,0.7990789473684211,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
random,ag_news,bert-base-uncased,50,200,200,accuracy,0.8503070175438596,,0.8503070175438596,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
random,ag_news,bert-base-uncased,100,400,400,accuracy,0.8743859649122806,,0.8743859649122806,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
random,ag_news,bert-base-uncased,500,2000,2000,accuracy,0.898640350877193,,0.898640350877193,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
random,ag_news,bert-base-uncased,1000,4000,4000,accuracy,0.9126754385964913,,0.9126754385964913,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
random,ag_news,roberta-base,1,4,4,accuracy,0.6278947368421052,,0.6278947368421052,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
random,ag_news,roberta-base,5,20,20,accuracy,0.7532894736842106,,0.7532894736842106,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
random,ag_news,roberta-base,10,40,40,accuracy,0.793859649122807,,0.793859649122807,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
random,ag_news,roberta-base,20,80,80,accuracy,0.822236842105263,,0.822236842105263,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
random,ag_news,roberta-base,50,200,200,accuracy,0.8635964912280701,,0.8635964912280701,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
random,ag_news,roberta-base,100,400,400,accuracy,0.8748684210526315,,0.8748684210526315,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
random,ag_news,roberta-base,500,2000,2000,accuracy,0.9043859649122808,,0.9043859649122808,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
random,ag_news,roberta-base,500,2000,2000,accuracy,0.9043859649122807,,0.9043859649122807,,,,,,,,,,,,scaling_laws_coreset_report/scaling_laws_all_methods.csv
random,ag_news,roberta-base,1000,4000,4000,accuracy,0.9146929824561404,,0.9146929824561404,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
random,sst2,bert-base-uncased,1,2,2,accuracy,0.5286697247706422,,0.5286697247706422,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
random,sst2,bert-base-uncased,5,10,10,accuracy,0.5462538226299695,,0.5462538226299695,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
random,sst2,bert-base-uncased,10,20,20,accuracy,0.7190366972477064,,0.7190366972477064,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
random,sst2,bert-base-uncased,20,40,40,accuracy,0.7813455657492354,,0.7813455657492354,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
random,sst2,bert-base-uncased,50,100,100,accuracy,0.8138379204892967,,0.8138379204892967,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
random,sst2,bert-base-uncased,100,200,200,accuracy,0.8249235474006116,,0.8249235474006116,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
random,sst2,bert-base-uncased,500,1000,1000,accuracy,0.8757645259938839,,0.8757645259938839,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
random,sst2,bert-base-uncased,1000,2000,2000,accuracy,0.8837920489296636,,0.8837920489296636,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
random,sst2,roberta-base,1,2,2,accuracy,0.5653669724770642,,0.5653669724770642,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
random,sst2,roberta-base,5,10,10,accuracy,0.6188837920489296,,0.6188837920489296,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
random,sst2,roberta-base,10,20,20,accuracy,0.698776758409786,,0.698776758409786,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
random,sst2,roberta-base,20,40,40,accuracy,0.7706422018348625,,0.7706422018348625,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
random,sst2,roberta-base,50,100,100,accuracy,0.7920489296636086,,0.7920489296636086,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
random,sst2,roberta-base,100,200,200,accuracy,0.8581804281345565,,0.8581804281345565,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
random,sst2,roberta-base,500,1000,1000,accuracy,0.8987003058103976,,0.8987003058103976,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
random,sst2,roberta-base,1000,2000,2000,accuracy,0.9086391437308868,,0.9086391437308868,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
random,sst2,roberta-base,1000,2000,2000,accuracy,0.9086391437308867,,0.9086391437308867,,,,,,,,,,,,scaling_laws_coreset_report/scaling_laws_all_methods.csv
k_centers,ag_news,albert-base-v2,1,4,4,accuracy,0.4234649122807017,,0.4234649122807017,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,albert-base-v2,5,20,20,accuracy,0.791578947368421,,0.791578947368421,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
