method,task,learner,dpc
random,ag_news,albert-base-v2,1
random,ag_news,albert-base-v2,5
random,ag_news,albert-base-v2,10
random,ag_news,albert-base-v2,20
random,ag_news,albert-base-v2,50
random,ag_news,albert-base-v2,100
random,ag_news,albert-base-v2,500
random,ag_news,albert-base-v2,1000
random,ag_news,bert-large-uncased,1
random,ag_news,bert-large-uncased,5
random,ag_news,bert-large-uncased,10
random,ag_news,bert-large-uncased,20
random,ag_news,bert-large-uncased,50
random,ag_news,bert-large-uncased,100
random,ag_news,bert-large-uncased,500
random,ag_news,bert-large-uncased,1000
random,ag_news,microsoft/deberta-v3-base,1
random,ag_news,microsoft/deberta-v3-base,5
random,ag_news,microsoft/deberta-v3-base,10
random,ag_news,microsoft/deberta-v3-base,20
random,ag_news,microsoft/deberta-v3-base,50
random,ag_news,microsoft/deberta-v3-base,100
random,ag_news,microsoft/deberta-v3-base,500
random,ag_news,microsoft/deberta-v3-base,1000
random,ag_news,roberta-large,1
random,ag_news,roberta-large,5
random,ag_news,roberta-large,10
random,ag_news,roberta-large,20
random,ag_news,roberta-large,50
random,ag_news,roberta-large,100
random,ag_news,roberta-large,500
random,ag_news,roberta-large,1000
random,ag_news,xlnet-base-cased,1
random,ag_news,xlnet-base-cased,5
random,ag_news,xlnet-base-cased,10
random,ag_news,xlnet-base-cased,20
random,ag_news,xlnet-base-cased,50
random,ag_news,xlnet-base-cased,100
random,ag_news,xlnet-base-cased,500
random,ag_news,xlnet-base-cased,1000
random,mnli,albert-base-v2,1
random,mnli,albert-base-v2,5
random,mnli,albert-base-v2,10
random,mnli,albert-base-v2,20
random,mnli,albert-base-v2,50
random,mnli,albert-base-v2,100
random,mnli,albert-base-v2,500
random,mnli,albert-base-v2,1000
random,mnli,bert-base-uncased,1
random,mnli,bert-base-uncased,5
random,mnli,bert-base-uncased,10
random,mnli,bert-base-uncased,20
random,mnli,bert-base-uncased,50
random,mnli,bert-base-uncased,100
random,mnli,bert-base-uncased,500
random,mnli,bert-base-uncased,1000
random,mnli,bert-large-uncased,1
random,mnli,bert-large-uncased,5
random,mnli,bert-large-uncased,10
random,mnli,bert-large-uncased,20
random,mnli,bert-large-uncased,50
random,mnli,bert-large-uncased,100
random,mnli,bert-large-uncased,500
random,mnli,bert-large-uncased,1000
random,mnli,microsoft/deberta-v3-base,1
random,mnli,microsoft/deberta-v3-base,5
random,mnli,microsoft/deberta-v3-base,10
random,mnli,microsoft/deberta-v3-base,20
random,mnli,microsoft/deberta-v3-base,50
random,mnli,microsoft/deberta-v3-base,100
random,mnli,microsoft/deberta-v3-base,500
random,mnli,microsoft/deberta-v3-base,1000
random,mnli,roberta-base,1
random,mnli,roberta-base,5
random,mnli,roberta-base,10
random,mnli,roberta-base,20
random,mnli,roberta-base,50
random,mnli,roberta-base,100
random,mnli,roberta-base,500
random,mnli,roberta-base,1000
random,mnli,roberta-large,1
random,mnli,roberta-large,5
random,mnli,roberta-large,10
random,mnli,roberta-large,20
random,mnli,roberta-large,50
random,mnli,roberta-large,100
random,mnli,roberta-large,500
random,mnli,roberta-large,1000
random,mnli,xlnet-base-cased,1
random,mnli,xlnet-base-cased,5
random,mnli,xlnet-base-cased,10
random,mnli,xlnet-base-cased,20
random,mnli,xlnet-base-cased,50
random,mnli,xlnet-base-cased,100
random,mnli,xlnet-base-cased,500
random,mnli,xlnet-base-cased,1000
random,qqp,albert-base-v2,1
random,qqp,albert-base-v2,5
random,qqp,albert-base-v2,10
random,qqp,albert-base-v2,20
