method,task,learner,dpc,k,score
k_centers,ag_news,albert-base-v2,1,4,0.4234649122807017
k_centers,ag_news,albert-base-v2,5,20,0.791578947368421
k_centers,ag_news,albert-base-v2,10,40,0.8143859649122808
k_centers,ag_news,albert-base-v2,20,80,0.8150877192982456
k_centers,ag_news,albert-base-v2,50,200,0.8537280701754386
k_centers,ag_news,albert-base-v2,100,400,0.8714473684210526
k_centers,ag_news,albert-base-v2,500,2000,0.8879824561403509
k_centers,ag_news,albert-base-v2,1000,4000,0.8944298245614034
k_centers,ag_news,bert-base-uncased,1,4,0.6248245614035088
k_centers,ag_news,bert-base-uncased,5,20,0.8156578947368421
k_centers,ag_news,bert-base-uncased,10,40,0.8304824561403509
k_centers,ag_news,bert-base-uncased,20,80,0.8576754385964912
k_centers,ag_news,bert-base-uncased,50,200,0.8789473684210526
k_centers,ag_news,bert-base-uncased,100,400,0.880701754385965
k_centers,ag_news,bert-base-uncased,500,2000,0.907280701754386
k_centers,ag_news,bert-base-uncased,1000,4000,0.9112719298245614
k_centers,ag_news,bert-large-uncased,1,4,0.5505701754385965
k_centers,ag_news,bert-large-uncased,5,20,0.8016666666666667
k_centers,ag_news,bert-large-uncased,10,40,0.8153947368421054
k_centers,ag_news,bert-large-uncased,20,80,0.8310964912280703
k_centers,ag_news,bert-large-uncased,50,200,0.8696052631578947
k_centers,ag_news,bert-large-uncased,100,400,0.8804385964912281
k_centers,ag_news,bert-large-uncased,500,2000,0.9036842105263158
k_centers,ag_news,bert-large-uncased,1000,4000,0.9129824561403508
k_centers,ag_news,microsoft/deberta-v3-base,1,4,0.25
k_centers,ag_news,microsoft/deberta-v3-base,5,20,0.25
k_centers,ag_news,microsoft/deberta-v3-base,10,40,0.25
k_centers,ag_news,microsoft/deberta-v3-base,20,80,0.25
k_centers,ag_news,microsoft/deberta-v3-base,50,200,0.25
k_centers,ag_news,microsoft/deberta-v3-base,100,400,0.25
k_centers,ag_news,microsoft/deberta-v3-base,500,2000,0.25
k_centers,ag_news,microsoft/deberta-v3-base,1000,4000,0.25
k_centers,ag_news,roberta-base,1,4,0.6037280701754385
k_centers,ag_news,roberta-base,5,20,0.7918859649122808
k_centers,ag_news,roberta-base,10,40,0.8459649122807017
k_centers,ag_news,roberta-base,20,80,0.8597807017543859
k_centers,ag_news,roberta-base,50,200,0.8804385964912281
k_centers,ag_news,roberta-base,100,400,0.8792982456140351
k_centers,ag_news,roberta-base,500,2000,0.907938596491228
k_centers,ag_news,roberta-base,1000,4000,0.9175
k_centers,ag_news,roberta-large,1,4,0.5312719298245614
k_centers,ag_news,roberta-large,5,20,0.8165350877192982
k_centers,ag_news,roberta-large,10,40,0.8566666666666666
k_centers,ag_news,roberta-large,20,80,0.8666228070175438
k_centers,ag_news,roberta-large,50,200,0.8895614035087719
k_centers,ag_news,roberta-large,100,400,0.8853947368421053
k_centers,ag_news,roberta-large,500,2000,0.9059649122807018
k_centers,ag_news,roberta-large,1000,4000,0.9186842105263158
k_centers,ag_news,xlnet-base-cased,1,4,0.6692543859649124
k_centers,ag_news,xlnet-base-cased,5,20,0.8153508771929826
k_centers,ag_news,xlnet-base-cased,10,40,0.8305263157894737
k_centers,ag_news,xlnet-base-cased,20,80,0.8513157894736842
k_centers,ag_news,xlnet-base-cased,50,200,0.8728947368421053
k_centers,ag_news,xlnet-base-cased,100,400,0.8868859649122808
k_centers,ag_news,xlnet-base-cased,500,2000,0.904122807017544
k_centers,ag_news,xlnet-base-cased,1000,4000,0.9153947368421052
k_centers,sst2,albert-base-v2,1,2,0.4904434250764526
k_centers,sst2,albert-base-v2,5,10,0.6456422018348623
k_centers,sst2,albert-base-v2,10,20,0.5535168195718655
k_centers,sst2,albert-base-v2,20,40,0.6368501529051988
k_centers,sst2,albert-base-v2,50,100,0.7866972477064221
k_centers,sst2,albert-base-v2,100,200,0.8146024464831805
k_centers,sst2,albert-base-v2,500,1000,0.8421253822629969
k_centers,sst2,albert-base-v2,1000,2000,0.8593272171253822
k_centers,sst2,bert-base-uncased,1,2,0.5913608562691132
k_centers,sst2,bert-base-uncased,5,10,0.7175076452599388
k_centers,sst2,bert-base-uncased,10,20,0.7450305810397553
k_centers,sst2,bert-base-uncased,20,40,0.7889908256880734
k_centers,sst2,bert-base-uncased,50,100,0.8111620795107034
k_centers,sst2,bert-base-uncased,100,200,0.8425076452599388
k_centers,sst2,bert-base-uncased,500,1000,0.8769113149847095
k_centers,sst2,bert-base-uncased,1000,2000,0.8883792048929663
k_centers,sst2,bert-large-uncased,1,2,0.5672782874617738
k_centers,sst2,bert-large-uncased,5,10,0.6697247706422017
k_centers,sst2,bert-large-uncased,10,20,0.6995412844036698
k_centers,sst2,bert-large-uncased,20,40,0.8176605504587157
k_centers,sst2,bert-large-uncased,50,100,0.8103975535168195
