method,task,learner,dpc,k,score
k_centers,ag_news,bert-base-uncased,1,4,0.6248245614035088
k_centers,ag_news,bert-base-uncased,5,20,0.8156578947368421
k_centers,ag_news,bert-base-uncased,10,40,0.8304824561403509
k_centers,ag_news,bert-base-uncased,20,80,0.8576754385964912
k_centers,ag_news,bert-base-uncased,50,200,0.8789473684210526
k_centers,ag_news,bert-base-uncased,100,400,0.880701754385965
k_centers,ag_news,bert-base-uncased,500,2000,0.9072807017543859
k_centers,ag_news,bert-base-uncased,1000,4000,0.9112719298245614
k_centers,ag_news,roberta-base,1,4,0.6037280701754385
k_centers,ag_news,roberta-base,5,20,0.7918859649122808
k_centers,ag_news,roberta-base,10,40,0.8459649122807017
k_centers,ag_news,roberta-base,20,80,0.8597807017543859
k_centers,ag_news,roberta-base,50,200,0.8804385964912281
k_centers,ag_news,roberta-base,100,400,0.8792982456140351
k_centers,ag_news,roberta-base,500,2000,0.907938596491228
k_centers,ag_news,roberta-base,1000,4000,0.9175
k_centers,sst2,bert-base-uncased,1,2,0.5913608562691132
k_centers,sst2,bert-base-uncased,5,10,0.7175076452599388
k_centers,sst2,bert-base-uncased,10,20,0.7450305810397553
k_centers,sst2,bert-base-uncased,20,40,0.7889908256880734
k_centers,sst2,bert-base-uncased,50,100,0.8111620795107034
k_centers,sst2,bert-base-uncased,100,200,0.8425076452599388
k_centers,sst2,bert-base-uncased,500,1000,0.8769113149847095
k_centers,sst2,bert-base-uncased,1000,2000,0.8883792048929663
k_centers,sst2,roberta-base,1,2,0.5416666666666666
k_centers,sst2,roberta-base,5,10,0.7438837920489297
k_centers,sst2,roberta-base,10,20,0.6624617737003057
k_centers,sst2,roberta-base,20,40,0.7824923547400612
k_centers,sst2,roberta-base,50,100,0.7909021406727829
k_centers,sst2,roberta-base,100,200,0.8528287461773699
k_centers,sst2,roberta-base,500,1000,0.8971712538226299
k_centers,sst2,roberta-base,1000,2000,0.9029051987767583
random,ag_news,bert-base-uncased,1,4,0.6773245614035087
random,ag_news,bert-base-uncased,5,20,0.6919298245614035
random,ag_news,bert-base-uncased,10,40,0.792280701754386
random,ag_news,bert-base-uncased,20,80,0.7990789473684211
random,ag_news,bert-base-uncased,50,200,0.8503070175438596
random,ag_news,bert-base-uncased,100,400,0.8743859649122806
random,ag_news,bert-base-uncased,500,2000,0.898640350877193
random,ag_news,bert-base-uncased,1000,4000,0.9126754385964913
random,ag_news,roberta-base,1,4,0.6278947368421052
random,ag_news,roberta-base,5,20,0.7532894736842106
random,ag_news,roberta-base,10,40,0.793859649122807
random,ag_news,roberta-base,20,80,0.822236842105263
random,ag_news,roberta-base,50,200,0.8635964912280701
random,ag_news,roberta-base,100,400,0.8748684210526315
random,ag_news,roberta-base,500,2000,0.9043859649122807
random,ag_news,roberta-base,1000,4000,0.9146929824561404
random,sst2,bert-base-uncased,1,2,0.5286697247706422
random,sst2,bert-base-uncased,5,10,0.5462538226299695
random,sst2,bert-base-uncased,10,20,0.7190366972477064
random,sst2,bert-base-uncased,20,40,0.7813455657492354
random,sst2,bert-base-uncased,50,100,0.8138379204892967
random,sst2,bert-base-uncased,100,200,0.8249235474006116
random,sst2,bert-base-uncased,500,1000,0.8757645259938839
random,sst2,bert-base-uncased,1000,2000,0.8837920489296636
random,sst2,roberta-base,1,2,0.5653669724770642
random,sst2,roberta-base,5,10,0.6188837920489296
random,sst2,roberta-base,10,20,0.698776758409786
random,sst2,roberta-base,20,40,0.7706422018348625
random,sst2,roberta-base,50,100,0.7920489296636086
random,sst2,roberta-base,100,200,0.8581804281345565
random,sst2,roberta-base,500,1000,0.8987003058103976
random,sst2,roberta-base,1000,2000,0.9086391437308867
