method,task,learner,dpc,k,n_dataset,seed,selection_time_sec,eval_time_sec,metric,accuracy_mean,accuracy_std,scores,combined_score_mean,combined_score_std,score,score_std
herding,ag_news,albert-base-v2,1,4,1,42,0.0,47.0,accuracy,0.4934210526315789,0.04830470862500117,"[0.5007894736842106, 0.4309210526315789, 0.5485526315789474]",,,0.4934210526315789,0.04830470862500117
herding,ag_news,albert-base-v2,5,20,1,42,0.0,50.0,accuracy,0.8010087719298246,0.01579471160683213,"[0.7818421052631579, 0.8205263157894737, 0.8006578947368421]",,,0.8010087719298246,0.01579471160683213
herding,ag_news,albert-base-v2,10,40,1,42,0.0,61.5,accuracy,0.8338157894736842,0.014962248585461631,"[0.8148684210526316, 0.8351315789473684, 0.8514473684210526]",,,0.8338157894736842,0.014962248585461631
herding,ag_news,albert-base-v2,20,80,1,42,0.0,76.6,accuracy,0.854780701754386,0.0027939663699356023,"[0.8581578947368421, 0.8548684210526316, 0.8513157894736842]",,,0.854780701754386,0.0027939663699356023
herding,ag_news,albert-base-v2,50,200,1,42,0.0,75.6,accuracy,0.8667105263157895,0.005453784677911234,"[0.8723684210526316, 0.868421052631579, 0.8593421052631579]",,,0.8667105263157895,0.005453784677911234
herding,ag_news,albert-base-v2,100,400,1,42,0.0,74.3,accuracy,0.872017543859649,0.008222953183882773,"[0.8775, 0.8603947368421052, 0.8781578947368421]",,,0.872017543859649,0.008222953183882773
herding,ag_news,albert-base-v2,500,2000,1,42,0.0,79.7,accuracy,0.8978070175438596,0.0004067376533112495,"[0.8981578947368422, 0.8980263157894737, 0.8972368421052631]",,,0.8978070175438596,0.0004067376533112495
herding,ag_news,albert-base-v2,1000,4000,1,42,0.0,78.6,accuracy,0.8946052631578948,0.006341322656816775,"[0.8856578947368421, 0.8985526315789474, 0.8996052631578947]",,,0.8946052631578948,0.006341322656816775
herding,ag_news,bert-base-uncased,1,4,1,42,0.1,40.6,accuracy,0.6469736842105264,0.015902011231879974,"[0.6621052631578948, 0.625, 0.6538157894736842]",,,0.6469736842105264,0.015902011231879974
herding,ag_news,bert-base-uncased,5,20,1,42,0.0,47.8,accuracy,0.792061403508772,0.015145620233252976,"[0.8005263157894736, 0.8048684210526316, 0.7707894736842106]",,,0.792061403508772,0.015145620233252976
herding,ag_news,bert-base-uncased,10,40,1,42,0.0,52.0,accuracy,0.8576315789473684,0.004252803105799075,"[0.8626315789473684, 0.8522368421052632, 0.8580263157894736]",,,0.8576315789473684,0.004252803105799075
herding,ag_news,bert-base-uncased,20,80,1,42,0.0,54.8,accuracy,0.8681140350877192,0.007041898527546976,"[0.8581578947368421, 0.8732894736842105, 0.8728947368421053]",,,0.8681140350877192,0.007041898527546976
herding,ag_news,bert-base-uncased,50,200,1,42,0.0,55.0,accuracy,0.8742105263157894,0.002356206319046185,"[0.8748684210526316, 0.8767105263157895, 0.8710526315789474]",,,0.8742105263157894,0.002356206319046185
herding,ag_news,bert-base-uncased,100,400,1,42,0.0,54.5,accuracy,0.8894298245614035,0.0037545499226372967,"[0.8906578947368421, 0.8843421052631579, 0.8932894736842105]",,,0.8894298245614035,0.0037545499226372967
