task,learner,1,5,10,20,50,100,500,1000
ag_news,albert-base-v2,0.493 ± 0.048,0.801 ± 0.016,0.834 ± 0.015,0.855 ± 0.003,0.867 ± 0.005,0.872 ± 0.008,0.898 ± 0.000,0.895 ± 0.006
ag_news,bert-base-uncased,0.647 ± 0.016,0.792 ± 0.015,0.858 ± 0.004,0.868 ± 0.007,0.874 ± 0.002,0.889 ± 0.004,0.904 ± 0.000,0.911 ± 0.002
ag_news,bert-large-uncased,0.561 ± 0.051,0.797 ± 0.020,0.854 ± 0.003,0.872 ± 0.006,0.879 ± 0.010,0.881 ± 0.003,0.903 ± 0.004,0.912 ± 0.001
ag_news,microsoft/deberta-v3-base,0.412 ± 0.047,0.769 ± 0.027,0.838 ± 0.005,0.841 ± 0.002,0.870 ± 0.001,0.885 ± 0.004,0.903 ± 0.003,0.915 ± 0.000
ag_news,roberta-base,0.606 ± 0.051,0.837 ± 0.006,0.838 ± 0.007,0.864 ± 0.003,0.887 ± 0.003,0.894 ± 0.001,0.911 ± 0.003,0.919 ± 0.003
ag_news,roberta-large,0.612 ± 0.046,0.853 ± 0.022,0.871 ± 0.009,0.874 ± 0.007,0.886 ± 0.002,0.888 ± 0.004,0.911 ± 0.003,0.918 ± 0.004
ag_news,xlnet-base-cased,0.637 ± 0.008,0.837 ± 0.012,0.862 ± 0.006,0.867 ± 0.003,0.884 ± 0.010,0.890 ± 0.004,0.905 ± 0.003,0.913 ± 0.001
mnli,albert-base-v2,0.377 ± 0.008,0.405 ± 0.004,0.415 ± 0.013,0.477 ± 0.035,0.511 ± 0.016,0.556 ± 0.008,0.646 ± 0.051,0.717 ± 0.003
mnli,bert-base-uncased,0.330 ± 0.021,0.398 ± 0.009,0.421 ± 0.012,0.424 ± 0.041,0.507 ± 0.005,0.477 ± 0.031,0.619 ± 0.014,0.687 ± 0.005
mnli,bert-large-uncased,0.351 ± 0.006,0.382 ± 0.052,0.396 ± 0.030,0.424 ± 0.015,0.484 ± 0.111,0.529 ± 0.017,0.570 ± 0.178,0.601 ± 0.175
mnli,microsoft/deberta-v3-base,0.344 ± 0.007,0.393 ± 0.017,0.405 ± 0.002,0.416 ± 0.021,0.491 ± 0.049,0.725 ± 0.010,0.810 ± 0.010,0.834 ± 0.003
mnli,roberta-base,0.334 ± 0.007,0.388 ± 0.015,0.384 ± 0.019,0.416 ± 0.029,0.505 ± 0.025,0.596 ± 0.026,0.742 ± 0.006,0.775 ± 0.005
mnli,roberta-large,0.329 ± 0.004,0.372 ± 0.010,0.367 ± 0.019,0.511 ± 0.045,0.575 ± 0.043,0.675 ± 0.054,0.799 ± 0.002,0.796 ± 0.042
mnli,xlnet-base-cased,0.351 ± 0.010,0.381 ± 0.014,0.368 ± 0.012,0.409 ± 0.007,0.434 ± 0.025,0.540 ± 0.014,0.694 ± 0.006,0.739 ± 0.005
qqp,albert-base-v2,0.497 ± 0.007,0.571 ± 0.021,0.633 ± 0.015,0.677 ± 0.003,0.649 ± 0.034,0.637 ± 0.051,0.705 ± 0.065,0.772 ± 0.004
qqp,bert-base-uncased,0.531 ± 0.030,0.617 ± 0.028,0.580 ± 0.007,0.648 ± 0.013,0.660 ± 0.007,0.671 ± 0.006,0.729 ± 0.006,0.740 ± 0.013
qqp,bert-large-uncased,0.481 ± 0.060,0.616 ± 0.041,0.635 ± 0.015,0.617 ± 0.043,0.660 ± 0.008,0.677 ± 0.006,0.639 ± 0.132,0.769 ± 0.002
qqp,microsoft/deberta-v3-base,0.613 ± 0.025,0.624 ± 0.042,0.642 ± 0.043,0.703 ± 0.011,0.684 ± 0.029,0.739 ± 0.017,0.798 ± 0.002,0.811 ± 0.001
qqp,roberta-base,0.543 ± 0.004,0.628 ± 0.018,0.654 ± 0.020,0.644 ± 0.019,0.672 ± 0.007,0.694 ± 0.017,0.754 ± 0.011,0.779 ± 0.005
qqp,roberta-large,0.386 ± 0.051,0.556 ± 0.048,0.614 ± 0.046,0.642 ± 0.040,0.638 ± 0.015,0.701 ± 0.033,0.660 ± 0.146,0.567 ± 0.162
qqp,xlnet-base-cased,0.499 ± 0.015,0.557 ± 0.016,0.600 ± 0.007,0.624 ± 0.018,0.633 ± 0.008,0.667 ± 0.003,0.729 ± 0.015,0.754 ± 0.004
sst2,albert-base-v2,0.492 ± 0.002,0.640 ± 0.045,0.670 ± 0.054,0.704 ± 0.024,0.790 ± 0.025,0.804 ± 0.023,0.816 ± 0.035,0.852 ± 0.018
sst2,bert-base-uncased,0.596 ± 0.028,0.729 ± 0.046,0.737 ± 0.037,0.734 ± 0.001,0.835 ± 0.006,0.819 ± 0.022,0.882 ± 0.003,0.890 ± 0.002
